nome,email,whatsapp,instagram,periodo,sessao
Tatiana Silva Silva,tatiana.silva648@email.com,(71) 94444-1077,tatianasil253,10,D1-tarde
Ana Pires Azevedo,ana.pires494@email.com,(41) 94561-8871,anapir990,9,D1-manha
Karla Ribeiro Nascimento,karla.ribeiro765@email.com,(71) 98538-7394,karlarib791,8,D1-manha
Renata Campos Nascimento,renata.campos847@email.com,(41) 97456-3219,renatacam567,2,D1-tarde
Tatiana Silva Nascimento,tatiana.silva694@email.com,(81) 98052-9310,tatianasil927,8,D1-manha
Rafael Rocha Duarte,rafael.rocha151@email.com,(81) 95657-1127,rafaelroc382,4,D1-tarde
Úrsula Pinto Pereira,úrsula.pinto165@email.com,(21) 97235-6163,úrsulapin896,8,D1-tarde
Olívia Cardoso Nunes,olívia.cardoso550@email.com,(41) 98987-9490,olíviacar559,4,D1-manha
Rômulo Cunha Vieira,rômulo.cunha332@email.com,(21) 97796-7526,rômulocun749,9,D2-tarde
Ivan Freitas Cunha,ivan.freitas470@email.com,(41) 93468-8275,ivanfre927,2,D2-tarde
Amanda Costa Ferreira,amanda.costa290@email.com,(21) 93336-5203,amandacos73,9,D1-tarde
Mariana Mendes Moreira,mariana.mendes724@email.com,(51) 97833-6051,marianamen596,2,D1-tarde
Sérgio Almeida Oliveira,sérgio.almeida56@email.com,(11) 91685-7368,sérgioalm320,3,D2-tarde
Paulo Ribeiro Pereira,paulo.ribeiro507@email.com,(71) 91917-6304,paulorib530,1,D2-tarde
Marcos Souza Barbosa,marcos.souza143@email.com,(61) 94113-6119,marcossou165,3,D1-manha
Beatriz Pereira Barbosa,beatriz.pereira838@email.com,(41) 95386-2004,beatrizper827,12,D1-manha
Carlos Souza Santos,carlos.souza316@email.com,(11) 95125-8692,carlossou243,8,D1-tarde
Marcos Pinto Borges,marcos.pinto361@email.com,(81) 96543-3463,marcospin359,12,D1-tarde
Pedro Monteiro Cardoso,pedro.monteiro554@email.com,(81) 95629-8648,pedromon650,12,D2-tarde
Nicolas Moreira Oliveira,nicolas.moreira367@email.com,(71) 92128-9676,nicolasmor601,6,D2-tarde
Nicolas Vieira Freitas,nicolas.vieira856@email.com,(11) 95536-1909,nicolasvie861,11,D2-tarde
Giovana Ferreira Pires,giovana.ferreira979@email.com,(71) 94412-4567,giovanafer727,4,D2-tarde
Camila Gomes Freitas,camila.gomes455@email.com,(31) 91972-3159,camilagom102,4,D2-tarde
Lucas Ferreira Rodrigues,lucas.ferreira112@email.com,(71) 95278-2978,lucasfer80,6,D1-tarde
Juliana Cunha Mendes,juliana.cunha806@email.com,(11) 91018-6659,julianacun621,9,D1-manha
Kelly Campos Castro,kelly.campos30@email.com,(21) 93925-7879,kellycam969,5,D2-tarde
Beatriz Cunha Melo,beatriz.cunha568@email.com,(81) 95057-6247,beatrizcun234,5,D1-manha
Daniel Moreira Freitas,daniel.moreira708@email.com,(51) 99839-4787,danielmor390,6,D1-tarde
Arthur Mendes Rodrigues,arthur.mendes770@email.com,(61) 97107-2654,arthurmen54,6,D1-manha
Tomás Pires Barbosa,tomás.pires917@email.com,(41) 94732-4277,tomáspir856,7,D1-manha
Natália Nunes Duarte,natália.nunes248@email.com,(41) 98997-6044,natálianun223,8,D1-manha
Vanessa Santos Almeida,vanessa.santos650@email.com,(41) 97519-4844,vanessasan166,5,D2-tarde
Mariana Gomes Azevedo,mariana.gomes647@email.com,(61) 93133-9776,marianagom705,2,D1-manha
Daniela Lima Mendes,daniela.lima408@email.com,(51) 99147-1819,danielalim211,7,D2-tarde
Ingrid Vieira Rocha,ingrid.vieira371@email.com,(41) 91533-1408,ingridvie189,12,D1-manha
Flávia Cunha Barbosa,flávia.cunha639@email.com,(71) 98217-8657,fláviacun277,8,D2-tarde
Bruno Martins Correia,bruno.martins731@email.com,(41) 99969-9014,brunomar473,6,D1-tarde
Marina Ramos Nascimento,marina.ramos881@email.com,(61) 99621-2800,marinaram670,2,D1-tarde
Thiago Pinto Campos,thiago.pinto636@email.com,(61) 96446-4186,thiagopin756,1,D1-manha
Karla Ferreira Machado,karla.ferreira567@email.com,(41) 97535-3405,karlafer815,1,D2-tarde
Nathalia Ferreira Machado,nathalia.ferreira238@email.com,(31) 96121-7013,nathaliafer875,2,D1-manha
Marina Silva Castro,marina.silva856@email.com,(31) 96016-6841,marinasil875,7,D1-manha
Igor Pereira Pereira,igor.pereira50@email.com,(71) 95801-1741,igorper645,2,D2-tarde
Vinícius Souza Ribeiro,vinícius.souza754@email.com,(41) 96894-2017,viníciussou294,8,D1-manha
Úrsula Araújo Monteiro,úrsula.araújo559@email.com,(81) 98165-2468,úrsulaara985,5,D1-tarde
Gustavo Duarte Ribeiro,gustavo.duarte431@email.com,(11) 91782-3086,gustavodua289,10,D2-tarde
Gabriela Machado Cunha,gabriela.machado470@email.com,(81) 98148-2196,gabrielamac903,2,D1-manha
Hugo Nunes Almeida,hugo.nunes575@email.com,(31) 99073-9918,hugonun7,2,D2-tarde
Vinícius Borges Santos,vinícius.borges536@email.com,(61) 99331-2357,viníciusbor809,7,D1-tarde
Felipe Moreira Lopes,felipe.moreira715@email.com,(31) 95262-6695,felipemor601,4,D1-tarde
Bruno Cunha Moreira,bruno.cunha42@email.com,(21) 99153-5350,brunocun956,8,D1-manha
Thiago Pinto Carvalho,thiago.pinto583@email.com,(31) 97978-6098,thiagopin797,10,D1-tarde
Ingrid Correia Nascimento,ingrid.correia70@email.com,(11) 97900-8422,ingridcor592,10,D1-manha
Eduardo Souza Borges,eduardo.souza300@email.com,(31) 91437-1483,eduardosou691,12,D1-tarde
Priscila Lopes Fonseca,priscila.lopes748@email.com,(71) 93144-9474,priscilalop102,8,D1-tarde
Fernanda Moreira Santos,fernanda.moreira620@email.com,(51) 91526-9272,fernandamor622,4,D1-tarde
Renata Cunha Castro,renata.cunha803@email.com,(31) 91535-1268,renatacun622,4,D1-tarde
Patrícia Cunha Freitas,patrícia.cunha698@email.com,(81) 95468-2930,patríciacun341,11,D2-tarde
Pedro Cunha Lopes,pedro.cunha848@email.com,(61) 96366-5582,pedrocun577,11,D2-tarde
Rafael Ramos Castro,rafael.ramos764@email.com,(11) 94806-5832,rafaelram404,8,D1-manha
Natália Rodrigues Costa,natália.rodrigues61@email.com,(11) 97430-5693,natáliarod715,3,D1-tarde
Heloísa Nunes Martins,heloísa.nunes873@email.com,(71) 97598-4425,heloísanun707,12,D2-tarde
Vanessa Ramos Santos,vanessa.ramos43@email.com,(51) 91933-3409,vanessaram622,1,D1-tarde
Camila Pereira Santos,camila.pereira851@email.com,(51) 97336-3416,camilaper419,7,D1-tarde
Vanessa Araújo Almeida,vanessa.araújo569@email.com,(41) 99443-2841,vanessaara248,12,D2-tarde
Rafael Rocha Lima,rafael.rocha772@email.com,(51) 91909-3180,rafaelroc334,7,D2-tarde
Bianca Correia Souza,bianca.correia705@email.com,(51) 94167-4587,biancacor446,11,D2-tarde
Rafael Lopes Souza,rafael.lopes195@email.com,(31) 95337-2235,rafaellop768,11,D1-tarde
Hugo Teixeira Carvalho,hugo.teixeira751@email.com,(71) 98908-4523,hugotei448,3,D2-tarde
Vanessa Silva Duarte,vanessa.silva953@email.com,(61) 97294-2127,vanessasil123,7,D1-tarde
Natália Santos Lopes,natália.santos542@email.com,(21) 99571-6810,natáliasan392,4,D1-manha
Flávia Rocha Teixeira,flávia.rocha967@email.com,(31) 92433-9885,fláviaroc696,9,D1-tarde
Yuri Barbosa Teixeira,yuri.barbosa829@email.com,(81) 93320-7614,yuribar983,2,D1-manha
Débora Azevedo Nunes,débora.azevedo83@email.com,(61) 97408-9147,déboraaze931,6,D1-manha
Vitória Nunes Rodrigues,vitória.nunes571@email.com,(11) 99165-5161,vitórianun814,1,D1-tarde
Jéssica Pinto Correia,jéssica.pinto833@email.com,(11) 92195-7853,jéssicapin888,1,D1-manha
Marina Rocha Fonseca,marina.rocha6@email.com,(21) 92041-6845,marinaroc832,8,D1-manha
Leonardo Azevedo Monteiro,leonardo.azevedo22@email.com,(41) 91219-1712,leonardoaze817,7,D2-tarde
Nicolas Fonseca Lopes,nicolas.fonseca850@email.com,(21) 91771-7368,nicolasfon723,5,D2-tarde
Bernardo Lopes Rocha,bernardo.lopes722@email.com,(61) 93622-9233,bernardolop993,8,D1-manha
Caio Ribeiro Machado,caio.ribeiro182@email.com,(21) 94277-7317,caiorib384,12,D1-tarde
Daniel Monteiro Araújo,daniel.monteiro251@email.com,(71) 99527-7063,danielmon664,3,D2-tarde
Marina Cardoso Vieira,marina.cardoso886@email.com,(41) 98115-9048,marinacar100,2,D2-tarde
Rafael Teixeira Araújo,rafael.teixeira286@email.com,(51) 94181-5056,rafaeltei561,6,D1-manha
Heloísa Ferreira Correia,heloísa.ferreira749@email.com,(41) 91987-6412,heloísafer521,7,D2-tarde
Lucas Borges Azevedo,lucas.borges796@email.com,(11) 99079-3302,lucasbor281,10,D1-manha
Jéssica Castro Rocha,jéssica.castro334@email.com,(21) 97532-7570,jéssicacas326,4,D1-manha
Thiago Campos Carvalho,thiago.campos345@email.com,(31) 98914-1179,thiagocam688,2,D2-tarde
Fábio Borges Borges,fábio.borges655@email.com,(81) 91354-2661,fábiobor166,6,D1-manha
Kevin Silva Lopes,kevin.silva75@email.com,(31) 99245-7622,kevinsil323,1,D2-tarde
Jéssica Nascimento Lopes,jéssica.nascimento679@email.com,(71) 96102-2053,jéssicanas243,3,D2-tarde
Arthur Machado Azevedo,arthur.machado791@email.com,(61) 98323-8195,arthurmac82,10,D1-tarde
Letícia Vieira Freitas,letícia.vieira175@email.com,(61) 93234-6397,letíciavie820,1,D2-tarde
Débora Ramos Machado,débora.ramos166@email.com,(71) 93956-3205,déboraram205,10,D2-tarde
Henrique Moreira Nunes,henrique.moreira391@email.com,(41) 99789-5868,henriquemor149,3,D1-manha
Débora Freitas Borges,débora.freitas476@email.com,(61) 91864-1144,déborafre694,6,D1-manha
Vanessa Silva Oliveira,vanessa.silva923@email.com,(81) 96416-5902,vanessasil629,8,D1-tarde
Bernardo Correia Carvalho,bernardo.correia403@email.com,(51) 94858-9292,bernardocor201,2,D2-tarde
Samuel Teixeira Lopes,samuel.teixeira455@email.com,(61) 95216-8494,samueltei187,2,D1-tarde
Talita Teixeira Barbosa,talita.teixeira895@email.com,(81) 94266-2935,talitatei286,8,D1-manha
Camila Moreira Almeida,camila.moreira115@email.com,(81) 95791-4847,camilamor574,8,D1-manha
André Borges Rodrigues,andré.borges514@email.com,(51) 94580-2540,andrébor967,12,D2-tarde
Henrique Pinto Teixeira,henrique.pinto180@email.com,(61) 96074-6658,henriquepin288,11,D1-tarde
Nicolas Costa Ribeiro,nicolas.costa407@email.com,(81) 92465-3030,nicolascos986,9,D2-tarde
Tomás Ramos Cardoso,tomás.ramos366@email.com,(41) 95125-2904,tomásram307,7,D2-tarde
Diego Santos Nunes,diego.santos962@email.com,(51) 95705-4935,diegosan998,2,D1-manha
Wagner Fonseca Rodrigues,wagner.fonseca42@email.com,(81) 95878-8914,wagnerfon371,1,D1-manha
Fábio Gomes Ramos,fábio.gomes867@email.com,(61) 97889-7402,fábiogom677,9,D1-tarde
